label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_7
101,0.618181818,0.545454545,0.327272727,0.509090909,0.527272727,0.327272727
101,0.618181818,0.618181818,0.254545455,,0.527272727,0.363636364
101,0.636363636,0.618181818,0.418181818,,0.436363636,0.145454545
101,0.636363636,0.527272727,0.490909091,0.545454545,0.6,0.472727273
101,0.745454545,0.527272727,0.254545455,0.527272727,0.581818182,0.4
101,0.672727273,0.563636364,0.436363636,0.527272727,0.581818182,0.290909091
101,0.563636364,0.690909091,0.418181818,0.527272727,0.363636364,0.472727273
101,0.690909091,0.581818182,0.418181818,0.290909091,0.581818182,0.4
101,0.527272727,0.672727273,0.418181818,0.563636364,0.581818182,0.4
101,0.527272727,0.672727273,0.418181818,0.563636364,0.509090909,0.4
101,0.581818182,0.672727273,0.418181818,0.6,0.527272727,0.4
101,0.454545455,0.636363636,0.309090909,0.490909091,0.472727273,0.472727273
1011,0.418181818,0.672727273,0.309090909,0.836363636,0.490909091,0.727272727
1011,0.418181818,0.690909091,0.309090909,0.763636364,0.363636364,0.690909091
1011,0.309090909,0.654545455,0.472727273,0.763636364,0.363636364,0.690909091
1011,0.4,0.581818182,0.472727273,0.636363636,0.218181818,0.727272727
1011,0.4,0.581818182,0.363636364,0.836363636,0.218181818,0.8
1011,0.4,0.618181818,0.490909091,0.654545455,0.436363636,0.727272727
1011,0.272727273,0.672727273,0.545454545,0.654545455,0.436363636,0.709090909
1011,0.472727273,0.654545455,0.618181818,0.763636364,0.472727273,0.672727273
1011,0.363636364,0.545454545,0.436363636,0.763636364,0.472727273,0.563636364
1011,0.345454545,0.545454545,0.345454545,0.563636364,0.472727273,0.563636364
1011,0.454545455,0.436363636,0.381818182,0.436363636,0.472727273,0.727272727
1011,0.327272727,0.436363636,0.381818182,0.436363636,0.436363636,0.727272727
1011,0.327272727,0.436363636,0.418181818,0.436363636,0.436363636,0.8
1011,0.327272727,0.636363636,0.418181818,0.690909091,0.436363636,0.636363636
1011,0.436363636,0.363636364,0.4,0.690909091,0.436363636,0.727272727
1011,0.363636364,0.545454545,0.418181818,0.618181818,0.363636364,0.727272727
1011,0.363636364,0.672727273,0.490909091,0.618181818,0.472727273,0.690909091
1011,0.4,0.672727273,0.327272727,0.618181818,0.472727273,0.690909091
1011,0.490909091,0.672727273,0.545454545,0.745454545,0.309090909,0.509090909
1011,0.454545455,0.563636364,0.327272727,0.854545455,0.309090909,0.727272727
1011,0.527272727,0.636363636,0.436363636,0.854545455,0.309090909,0.490909091
1011,0.472727273,0.636363636,0.327272727,0.781818182,0.309090909,0.490909091
1011,0.345454545,0.527272727,0.454545455,0.6,0.309090909,0.727272727
1011,0.436363636,0.636363636,0.472727273,0.6,0.436363636,0.8
1011,0.436363636,0.636363636,0.472727273,0.6,0.236363636,0.690909091
1011,0.345454545,0.636363636,0.309090909,0.654545455,0.236363636,0.763636364
102,0.727272727,0.709090909,0.4,0.563636364,0.363636364,
102,0.636363636,0.709090909,0.4,0.563636364,0.363636364,
102,0.636363636,0.709090909,0.363636364,0.2,0.363636364,
102,0.636363636,0.636363636,0.363636364,0.345454545,0.272727273,
102,0.545454545,0.709090909,0.363636364,0.563636364,0.309090909,
102,0.545454545,0.672727273,0.363636364,0.363636364,0.254545455,0.272727273
102,0.436363636,0.672727273,0.418181818,0.472727273,0.381818182,0.290909091
102,0.436363636,0.690909091,0.345454545,0.545454545,0.345454545,0.290909091
102,0.436363636,0.654545455,0.309090909,0.545454545,0.290909091,0.218181818
102,0.381818182,0.654545455,0.436363636,0.545454545,0.345454545,0.290909091
102,0.527272727,0.690909091,0.436363636,0.509090909,0.4,0.290909091
102,0.490909091,0.690909091,0.436363636,0.509090909,0.290909091,0.290909091
102,0.563636364,0.727272727,0.4,0.581818182,0.290909091,0.290909091
102,0.563636364,0.727272727,0.4,0.581818182,0.290909091,0.272727273
102,0.436363636,0.672727273,0.4,0.509090909,0.290909091,0.272727273
102,0.636363636,0.654545455,0.454545455,0.290909091,0.290909091,0.218181818
102,0.636363636,0.690909091,0.454545455,0.472727273,0.272727273,0.236363636
102,0.436363636,0.654545455,0.454545455,0.472727273,0.290909091,0.236363636
102,0.436363636,0.654545455,0.436363636,0.436363636,0.418181818,0.290909091
102,0.709090909,0.654545455,0.454545455,0.436363636,0.290909091,0.290909091
102,0.709090909,0.654545455,0.418181818,0.436363636,0.290909091,0.181818182
102,0.545454545,0.654545455,0.436363636,0.472727273,0.345454545,0.272727273
102,0.545454545,0.690909091,0.309090909,0.436363636,0.345454545,0.272727273
102,0.654545455,0.727272727,0.454545455,0.509090909,0.345454545,0.272727273
102,0.654545455,0.727272727,0.454545455,0.4,0.345454545,0.272727273
102,0.654545455,0.727272727,0.490909091,0.545454545,,0.381818182
